Год,среднедушевые денежные доходы населения в месяц,средний размер назначенных пенсий,расходы на конечное потребление домашних хозяйств в месяц (на одного члена домашнего хозяйства),объем прямых иностранных инвестиций в расчете на 1 жи­теля,оборот малых и микропред­приятий и индивидуальных предпри­нимателей в расчете на одного жителя,объем инвестиций в основной капитал малых и микро предприят­ий в расчете на одного жителя,доля занятых в малом бизнесе и индивидуальном предпринима­тельстве в общей численности экономически активного населения,выпуск из аспирантуры на 10000 человек населения,доля населения с высшим образованием в общей численности населения в воз­расте 15 лет и более,численность жителей. не имеющих сред­него образования в воз­расте 15 лет и более на 1000 человек населения,обеспеченность детей дошкольного возраста местами в дошколь­ных образовательных учреждениях на 1000 детей,число студентов. принятых в общеоб­разовательные учреждения высшего про­фессионального образования на 1000 человек населения,обеспеченность врачами на 10 тыс. человек населения,мощность амбулаторнополиклинических учреждений на 10 тыс. человек населения,обеспеченность больничными койками на 10 тыс. человек населения,доля учреждений здравоохранения. здания которых находятся в аварийном состоянии или требуют капитального ремонта,обеспеченность населения питьевой водой,затраты на охрану окружающей среды на одного жителя,размер социальных выплат,число зарегистрированных преступлений,плотность автомобильных дорог общего пользования с твердым покрытием. км дорог на 1000 кв. км территории,плотность железнодорожных путей общего пользования. км пу­тей на 10000 кв. км территории,уровень износа коммунальной инфраструктуры,обеспеченность торговыми площадями на 1000 человек,обеспеченность ресторанами и столовыми на 1000 человек,оборот розничной торговли на одного жителя,объем платных услуг населению,объем ВРП на душу населения,доля населения с доходами. ниже прожи­точного минимума,отношение денежных доходов населения к стоимости,доходы от предпринимательской деятельности населения,общая площадь жилых помещений на жителя за искл.,численность зрителей театров на 1000 человек населения,число посещений музеев на 1000 чело­век населения,коэффициент естественного прироста (+). убыли (),уровень младенческой смертности на 1000 родившихся младенцев в возрасте до 1 года,ожидаемая продолжительность жизни при рождении,миграционный прирост (+). убыль () населения,децильный коэффициент (отношение доходов 10% богатых граждан и 10% бедных граждан),уровень безработицы,оценка населением уровня криминоген­ности в субъекте РФ,смертность населения в ДТП в расчете на 100 тыс. человек населения,число травм. отравлений и некоторых других последствий воздействия внешних причин в расчете на 1000 чел. населения,выбросы в атмосферу загрязняющих веществ от стационарных и передвижных источников на единицу площади населенных пунк­тов,оценка климата
In99.99,In1.1,In1.2,In1.3,In1.4,In2.1,In2.2,In2.3,In3.1,In3.2,In3.3,In3.4,In3.5,In4.1,In4.2,In4.3,In4.4,In5.1,In5.2,In5.3,In5.4,In6.1,In6.2,In6.3,In6.4,In6.5,In6.6,In6.7,O1.1,O1.2,O1.3,O2.1,O2.2,O2.3,O2.4,O3.1,O3.2,O3.3,O3.4,O3.5,O3.6,O4.1,O4.2,O4.3,O4.4,O4.5
2000,1807.5,827.1,1244.2,114.5,143400,2330,18,0.75,9.9,8.4,748,6.8,36,269,134,45,80,409,17100,18000,156,207,66,12,23,12958,2017,29347,34.2,3.2,18.2,22.3,178,925,-12.6,14,62,1.3,13,7.64,40,29,119,51,49
2002,3008.5,1458,1745.6,165.3,145400,2700,19.1,1.5,13.5,8,789,6.9,37,282,129,45,82,546,17600,13700,158,207,65,13,25,19315,3523,45178.5,30.8,3.1,13.1,23.3,131,1095,-13.3,12,61,1.1,13.9,6.28,39,34,102,50,49
2004,4363.3,1996.4,2340,172,146100,2900,20.1,2,13,8,820,7,38,281,124,47,83,858.04,18700,12300,159,207,66,24,32,27033,6466,72549.3,26.7,2.7,14.3,24.2,139,1156,-12.9,10.3,61,-0.2,15.2,6.07,37,38,102,53,48
2005,5478.6,2502.1,3800,178,146200,2980,20.3,2,13,7.8,874,7,39,291,128,47.1,83,1036.18,19800,15400,159,210,66,56,32,33324,8072,95286.2,23.8,2.7,13.7,24.7,159,1035,-13.2,9.7,61,0.1,24.9,5.85,36.5,39,103,55,48
2007,8614.1,3627.9,5503.8,167,151200,3436,22.1,1.9,15.3,7.5,812,6.9,40,314,126,47.2,84,1193.8,19000,15300,165,210,65,73,34,52532,11759,132334.8,20.3,2.5,12,25.7,100,1220,-9.4,8,64,1,10.8,5.32,37.1,43,110.7,49,47
2009,13388.8,6041.9,7299.1,167,145200,3345,20.5,1.5,16,7.5,804,6,41,306,99,47,83,1709.8,19200,14100,170,210,64,167,36,84485,16488,18319.6,16.5,2.6,9.9,27,104,1150,-9.2,7.7,64,0.6,6.7,6.12,26.6,34,113.5,38,46
2010,155989,7454.8,9200,170.4,151200,3746,21.3,1.3,19.1,7.1,801,5.8,35,320,99,47,83,1907,20900,11713,175,210,63,345,37,93969,19426,200248.6,14.9,2.3,8.9,27.6,106,1095,-8.7,7.2,65,-0.4,7,5.61,37.7,33.87,114,46,45
2011,16980.9,8111.1,11312.8,220,152300,3750,21.4,1.2,19,7.2,829,6,41,310,98,46.6,85,1977.3,25300,11200,177,210,65,467,38,107316,22769,243031.9,15,2.3,7.6,28,121,1224,-7.1,7.7,66,-0.4,7.1,4.86,41.3,36,111,42,46
2012,21011,9815,13200,225,157000,4000,22.3,1,19.4,7,875,6,35,269,94,46,85,2000,35000,11838,192,210,68,662,37,123000,26213,236000,12,2.2,8,27,121,1224,-6,8.4,68,0.3,6.9,4.13,60.4,32,109,66,50
2013,21391.9,9821.4,12662.2,235.8,164000,4356,23.2,1,22,6,861,8,37,273,98,44,86,2123,37400,11245,202,210,67.5,651,36,129150,27020,274474,12.1,2.1,8.7,28,121,1223,-5.2,7.9,68,-0.25,7.1,4.5,60.4,29,109,50,66
